Sample,X6_SL,LSTc,DSLNH,DFLNH,X2_FL,X3_FL,X3_SL,DFLac,DFLNT,DSLNT,FDSLNH,FLNH,LNFP_I,LNFP_II,LNFP_III,LNH,LNnT,LNT,LSTb,z6DDL
14HM01.M,1.807251243,-0.067769942,1.3367478196976752,2.758375038321453,1.3058636572806293,3.6577842593813608,-1.214823374,-0.838301928,-2.313262228,0.07160683,-1.03663898,0.3538917806040647,2.845390889,-1.88609038,-0.271999277,-1.150329833,-0.905032451,0.41011418255784976,-1.365727933,5.834604159137374
14HM02.M,-0.318665669,-0.144492938,-0.50490746,0.2135269582438689,-0.380493259,1.3849777529025347,1.0771855254554021,4.448117828873061,-0.813860669,1.1418948576085364,-0.347337944,-0.729119062,-1.312946486,1.0928136569185534,0.8573471485756773,-1.148299483,-1.418554944,-1.322549704,0.4922217560954171,-0.754539108
14HM03.M,0.15761498337802754,0.5018720222957552,-0.656552563,-0.347754048,-0.731214524,-0.510869703,-0.51899188,0.7813073816757006,1.001841672134586,0.6688181644404816,-0.573726029,-0.679891297,-0.797385142,1.4990341477949565,1.5666887053452745,-0.776745554,-0.174438321,0.40195166743965205,0.4785027183080453,-0.344819605
14HM04.M,0.5997915891701889,0.050993050319024874,-0.054354954,-0.36571504,-0.04309569,0.756581095,-0.513363043,0.037840277,0.23988460643557585,-0.017974871,0.42508468842111663,0.095818949,-0.803115082,0.856764741,0.7873463370523618,-0.691470881,-0.289232886,-0.071474209,-0.971795562,0.23071464549440335
14HM05.M,-0.819936356,-0.573300911,-0.346249865,-0.479093803,3.1133585848643395,1.8408811073629452,-1.014061514,-0.512883027,-2.275607373,-0.695809736,-1.173147617,-0.81862409,0.9663703378461445,-1.712590266,-0.680337345,-1.284332889,-0.778941613,-1.40026365,-0.844404497,-2.218580935
14HM06.M,1.2828972761687059,-0.329728127,0.6167420040585448,6.008011384870008,-0.601827002,-0.648435846,-0.984257687,-0.286508334,-0.99850818,0.11536435102675266,0.7276610878610552,2.6621861873024097,-0.853378165,0.044237198,1.5532396280614207,-0.856738097,0.20276615427277767,1.050079219313493,-1.097696328,7.577922538
14HM07.M,-0.097577366,0.010004052866594925,-0.587304221,0.060858525,0.42653678529917405,0.1913398794061863,-0.31755992,0.4162169411305591,-0.455475049,-0.505555268,0.23721636671947402,-0.462095728,-0.968617069,1.1749176277614457,1.8770256364319737,-0.624469353,-0.411049458,-0.290841803,-0.707214119,-0.61401901
14HM08.M,0.1054126024858394,-0.347483723,-0.858015082,2.6518205117421467,-0.082599167,-0.060067722,0.12971371202485638,-0.034461612,-0.609045889,0.089933734,-1.096255079,-0.340847308,-0.588414741,0.1636186417422632,0.8761178771467577,-1.110879723,-0.541338698,-0.269575391,-0.745976643,1.5517343092372733
14HM09.M,0.5792115609750751,-0.839203894,-0.654799441,-0.023333626,0.4676212763844511,0.41080504397760487,-0.727258856,0.35483833298150397,-2.336150473,1.010508363924352,-1.171796046,-0.717185058,2.928808155164656,-1.341874195,0.8456803466551247,-1.428487693,-0.120399391,0.9083677095644831,0.061051997,-0.9381254
14HM10.M,0.20289104540727823,0.37890502993846525,-0.563637066,-0.355611982,-0.741346472,-0.442188159,-0.561878259,-0.035140385,0.6155471597569482,0.4098843927966499,0.43927618034821886,-0.448669973,-0.697977346,1.4022291281187087,0.022004131064112014,-0.366614987,-0.470583873,0.36045888225548217,-0.742491645,-0.337452973
