Sample, Streptococcus, Haemophilus, Gemella, Moraxella, Actinomyces, Geobacillus, Deinococcus, Thermus, Corynebacterium, Campylobacter, Staphylococcus, Brevibacterium, Dolosigranulum, Acinetobacter, Stenotrophomonas, Enterobacteriaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium, Empedobacter, Prevotella, Novosphingobium, Caldicellulosiruptor, Brevundimonas, Veillonella, Sphingobium, Comamonadaceae, Delftia, Bergeyella, Lactococcus, Enterococcus, Bacillaceae, Thermoanaerobacterium, Escherichia-Shigella, Abiotrophia, Methylobacterium-Methylorubrum, Lactobacillales, Neisseria, Fusobacterium, Actinobacillus, Porphyromonas, Alloprevotella, Lachnoanaerobaculum, Oribacterium, Neisseriaceae, Micrococcus, Enhydrobacter, Lactobacillus, Meiothermus, Aeribacillus, Bacillus, Comamonas, Exiguobacterium, Chryseobacterium, Aeromonas, Roseomonas, Atopobium, Bifidobacterium, Tepidimonas, Sphingomonas, Brachybacterium, Rothia, uncultured, Burkholderia-Caballeronia-Paraburkholderia, Lawsonella, Bradyrhizobium, Pseudomonas, Rubrobacter, Megasphaera, Rhodococcus, Ralstonia, KCM-B-112, Ezakiella, Aerococcus, Fenollaria, Finegoldia, Peptostreptococcus, Kingella, Caldanaerobacter, Streptobacillus, Agathobacter, Roseburia, Cloacibacterium, Sphingobacterium, Massilia, Cupriavidus, Beijerinckiaceae, Peptoniphilus, Intrasporangiaceae, Alcaligenaceae, Capnocytophaga, Lautropia, Cardiobacterium, Pantoea, Paracoccus, Leptotrichia, Anoxybacillus, Yersiniaceae, Serratia, Kocuria, Dialister, Xanthomonas, Lachnospiraceae, Solobacterium, Pasteurellaceae, TRA3-20, uncultured.1, Gordonia, Akkermansia, Enterobacterales, Candidatus_Udaeobacter, Micrococcaceae, Bacteroides, Aggregatibacter, Selenomonas, Microbacteriaceae, Tepidiphilus, Clostridium_sensu_stricto_1, Stomatobaculum, Absconditabacteriales_(SR1), Muribaculaceae, Pseudoxanthomonas, Anaerococcus, Faecalibacterium, Mycobacterium, Ignatzschineria, Tetragenococcus, Mitochondria, Vibrio, Leuconostoc, Paenibacillus, Clostridia_UCG-014, Flavobacterium
14HM99.M,2.8528291207117658,-0.46870085821651886,-0.36604670415643525,0,0,1.2769675038112691,0,1.00178559412372,0,0,-1.4405614412454848,0,0,0,0,-1.5947121210727428,0,0,0,0,-0.7837819048564141,0,1.0383750415560122,0,0,0,0,0,0,0,0,-0.39073931674680695,0,0.12507384853022252,0,0.3862893477938405,0,0,0,-0.6456315663755969,0,0,0,0,0,0.18306110618057225,0,0,0.37472852539276413,0,0,0,0,0,0,0,0,0,0,-2.981006482192633,-1.246405426804527,0,0,0,2.6784757335669873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM97.M,-0.6128803157325309,0,0,0,0,1.409402812107356,-1.9628070326815468,-1.7114926044006404,2.44912508477124,0,3.4071663227729254,0,0,-3.2155700011769146,0,0,0,0,0,0,0,0,0,-2.116957712508805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6762502969337123,-0.44298127893713346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0755038376806438,3.1962482665329826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM96.M,-2.1495187396986157,0,0,0,0,0.5913212842265851,1.2516786419635393,0.5072381670160437,5.356111039336033,0,1.7524539298760287,0,0,-2.4372008121503965,0,0.3143345008915519,0,0,0,0,0,0,0,0,-2.1495187396986157,0,0,0,-2.4372008121503965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1463181263057134,0,0,0,0,0,0,0,0,0,-1.7440536315904516,0,0,-2.842665920258561,0,-0.20360859064330272,0,0,3.7633083618922933,0,0,0,0,0.17775896588580142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8967557712032481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM95.M,0,0,0,0,0,2.1572555358086682,-2.180035205023822,0.5112078777620073,1.5150747988407507,0,3.3140545160422925,0,0,-0.3082330281222303,0,0,0,0,0,-0.7937408439039313,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8582793650415024,0,0,0,0,-1.1684342933453418,0,0,0,0,0,0,-2.467717277475603,-0.47528711278539637,0,-1.3691049888074929,0,0,0,0,0,0,0,0,0,0,0,0,-1.3691049888074929,0,0,3.297473825309242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19487054954984995,0,0
14HM94.M,4.486565734254645,3.186049879751524,2.3324692761848254,-1.7328877491640229,1.066134230143914,0.8429906788297044,-1.8870384289912812,0,-0.311502068232862,-1.1938912484313358,0.058871720064032296,0,0,-2.5801856095512266,0.17134970349072232,0,-0.970747697117126,0,1.2040040243670345,0,-1.5993563565395004,0,2.5237376189685867,0,-2.2925035370994458,0,0,0,0,0,-0.45992207335113555,0,0,0,1.9379731994472356,1.589060260843992,1.8933561339584286,1.091886726246329,0.5696973438300232,1.188736552236246,-0.906209175979555,0,0,0,0,0,-1.7328877491640229,0,0,0,0,0,0,0,0,0,0,0,0,0.9263722877687557,0,0,0,0,3.181865773228951,-1.7328877491640229,0,0,0,0,0,0,0,0,0,0,0,-0.15243737360317455,0,0,0,0,0,0,0,0,0,0,0,-2.9856507176593907,0,0,0,-0.84558455416312,0,0,0,0,0,0,0,-2.069359985785236,0,-0.906209175979555,0,0,0,0,0,0,0,0,0,0,0,0,-1.5993563565395004,0,0,0,0,0,-2.2925035370994458,0,0,0,0,0,0,0,0
14HM93.M,2.388162687523277,-0.5615256475293076,0.9276260990302907,0,0,1.892348893010964,-2.0168128801361496,0,1.1671756857316105,0,1.8720877078711418,0,0,0,0,0,0,0,0,0,0,0,-1.6601379361974171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5287358247063167,0,0,0,0,0,0,0,0,0,-1.8832814875116273,0,0,0,0,0,0,0,0,2.70040966679934,0,0,0,0,-1.5648277563930924,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6601379361974171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0723512712952985,0,0
14HM92.M,3.154155337243772,2.466043132355562,2.0328534762325425,0,-0.1730141972596968,-0.720979367975144,-0.36160536706724633,-1.4986839365631521,2.9101850786375936,-1.4986839365631521,4.824831321908165,-2.722459368185268,0,-3.638750100059423,0,-0.8055367560032067,0,0,0.3685830851730483,0,0,0,2.464926437655487,0,0,0,0.15673908911277135,0,0,0,-2.385987131564055,0,0,0,2.6528190394988975,2.6583592198745123,1.8122883535062773,1.1361628605157632,1.0056407990819496,1.334529407493064,-0.09779077602210862,0,0,-2.5401378113913133,0,-3.638750100059423,-2.1346727032831487,0,0,0,0,0,0,0,0,0,0,0,0,2.676607901462912,-1.0360604146150392,0,0,0,1.6419123312498929,0,0,0,0,0,0,0,0,0,0,0,0,-2.722459368185268,0,0,0,0,0,0,0,0,0,0,-0.2714542700729492,0,0,0,0,1.2921202255679702,0,0,0,0,0,0,-2.722459368185268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.385987131564055,-3.2332849919512583,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM91.M,2.2587748724479186,1.7207366851570431,0.058188947408994274,0,0.058188947408994274,1.2156417361000371,-0.3028243981283363,-0.3472761606991699,-0.7992612844422275,0,1.0043326424328307,0,0,5.2360492517307495,0.36834387571283367,0,0,-0.07102278407101181,0.058188947408994274,0,0,0,1.6615478137667128,0,-1.8288807016233857,0,-2.0520242529375956,0,-2.7451714334975406,0,-0.004331409572339684,0,0,0,0,0.7048161123340466,0,0,-0.10611410388228215,0,0,0,0,-0.6051052700012698,0,-2.7451714334975406,-1.3588770723776502,0,0,0,0,0,0,0,0,0,0,-1.4924084650021727,0.5129251045239416,0,0,0,0,0,3.4054313349487386,0,0,0,0,-0.9534119642694856,0,0,0,-1.3588770723776502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4924084650021727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM90.M,3.85894369052252,0.8874463878139869,0.6852095213190905,0,1.0791138070261788,1.1891147022405075,0,-1.5834740199992736,0.8294591301636371,0.09050241357239797,0.4534079072617665,0,-2.682086308667383,0,0,-2.2766212005592186,0,0,2.181594572472209,0,0,0,3.939984900525646,0,-1.4293233401720153,0,0,0,0,0,0,0,-2.2766212005592186,0,1.9671007627374824,0.8294591301636371,0,0,-1.0726483962332827,0.7356403749459828,-2.2766212005592186,0,-1.5834740199992736,0,0,-2.682086308667383,-0.6026447669875474,0,0,0,0,0,0,0,0,0,0,0,0,1.3521543294850122,0,0,0,0,3.2685562439203437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.178008911891109,0,0,0,0,1.4369508661450885,0,0,0,0,0,0,0,0,0,-1.7657955767932283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3752334892273286,0,0,0,0,0,0
14HM89.M,3.345894366822817,0,1.0483782793320682,0,0.548725956164203,-0.14442122439574234,0,-0.46984362483037057,-0.5224873583157925,-1.4253550698578068,2.1146376035484122,0,0,0,0,-1.2430335130638523,0,0,0.9541910642723668,0,0,0,2.2882169968465007,0,0,0,0,0,0,0,-1.4943479413447585,0,-1.5684559134984801,0,1.3176331826056833,0.45156220771055544,0,0,0,0,0,0,-0.32674278118969724,0,0,0,-1.830820177965971,-1.6484986211720165,0,0,0,0,0,0,-1.0888828332365939,-0.4445258168460806,0,0,0,0.8838745658549074,0,0,0,-1.2430335130638523,2.553703336906498,0,-1.0888828332365939,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3001919269038007,0,0,0,0,0,0,0,0,0,0,0,0,1.1497984577779716,0,0,0,0,0,0,0,0,0,-1.0423628176017008,0,0,0,0,-0.1631133574078949,0,0.3883833060890236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
